run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T070606Z_3811b539,1,normal,1789801567.302355,1789801567.346795,44.754,0,44.754,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": 1, ""max_seen_before"": 1, ""violation"": false}]}"
20260919T070606Z_3811b539,2,normal,1789801567.3473997,1789801567.3763316,28.737,0,28.737,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260919T070606Z_3811b539,3,normal,1789801567.3775256,1789801567.420614,44.423,0,44.423,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260919T070606Z_3811b539,4,normal,1789801567.4221594,1789801567.4456594,23.854,0,23.854,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260919T070606Z_3811b539,5,normal,1789801567.446229,1789801567.4676232,21.785,0,21.785,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260919T070606Z_3811b539,6,normal,1789801567.4682093,1789801567.4864397,18.564,0,18.564,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260919T070606Z_3811b539,7,normal,1789801567.4869509,1789801567.5058024,18.835,0,18.835,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260919T070606Z_3811b539,8,normal,1789801567.5058024,1789801567.5264256,20.209,0,20.209,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260919T070606Z_3811b539,9,normal,1789801567.5264256,1789801567.5442681,17.745,0,17.745,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260919T070606Z_3811b539,10,normal,1789801567.5442681,1789801567.564152,19.802,0,19.802,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260919T070606Z_3811b539,11,normal,1789801567.564152,1789801567.5827157,18.748,0,18.748,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 11, ""max_seen_before"": 11, ""violation"": false}]}"
20260919T070606Z_3811b539,12,normal,1789801567.58335,1789801567.6007288,17.547,0,17.547,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 12, ""max_seen_before"": 12, ""violation"": false}]}"
20260919T070606Z_3811b539,13,normal,1789801567.6007288,1789801567.619425,18.777,0,18.777,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 12, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260919T070606Z_3811b539,14,normal,1789801567.620021,1789801567.6380172,17.937,0,17.937,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260919T070606Z_3811b539,15,normal,1789801567.6380172,1789801567.6575067,19.316,0,19.316,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
20260919T070606Z_3811b539,16,normal,1789801567.6575067,1789801567.6772704,19.798,0,19.798,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 16, ""max_seen_before"": 15, ""violation"": false}, {""version"": 16, ""max_seen_before"": 16, ""violation"": false}]}"
20260919T070606Z_3811b539,17,normal,1789801567.6772704,1789801567.6992168,21.625,0,21.625,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 17, ""max_seen_before"": 16, ""violation"": false}, {""version"": 17, ""max_seen_before"": 17, ""violation"": false}]}"
20260919T070606Z_3811b539,18,normal,1789801567.6992168,1789801567.7202048,20.942,0,20.942,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 18, ""max_seen_before"": 17, ""violation"": false}, {""version"": 18, ""max_seen_before"": 18, ""violation"": false}]}"
20260919T070606Z_3811b539,19,normal,1789801567.7202048,1789801567.7406144,19.89,0,19.89,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 19, ""max_seen_before"": 18, ""violation"": false}, {""version"": 19, ""max_seen_before"": 19, ""violation"": false}]}"
20260919T070606Z_3811b539,20,normal,1789801567.7406144,1789801567.760132,19.35,0,19.35,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 20, ""max_seen_before"": 19, ""violation"": false}, {""version"": 20, ""max_seen_before"": 20, ""violation"": false}]}"
20260919T070606Z_3811b539,21,normal,1789801567.760132,1789801567.7787325,18.528,0,18.528,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 21, ""max_seen_before"": 20, ""violation"": false}, {""version"": 21, ""max_seen_before"": 21, ""violation"": false}]}"
