run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T071122Z_8c5366f8,1,normal,1789801883.3741758,1789801883.4030972,28.713,0,28.713,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260919T071122Z_8c5366f8,2,normal,1789801883.4037416,1789801883.4131653,9.586,0,9.586,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T071122Z_8c5366f8,3,normal,1789801883.4131653,1789801883.4249434,11.557,0,11.557,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T071122Z_8c5366f8,4,normal,1789801883.4259677,1789801883.4365547,10.725,0,10.725,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T071122Z_8c5366f8,5,normal,1789801883.4365547,1789801883.4460104,9.227,0,9.227,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T071122Z_8c5366f8,6,normal,1789801883.4460104,1789801883.455875,9.635,0,9.635,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T071122Z_8c5366f8,7,normal,1789801883.455875,1789801883.4653091,9.379,0,9.379,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T071122Z_8c5366f8,8,normal,1789801883.4653091,1789801883.474854,9.303,0,9.303,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T071122Z_8c5366f8,9,normal,1789801883.474854,1789801883.484164,9.327,0,9.327,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T071122Z_8c5366f8,10,normal,1789801883.484164,1789801883.4939067,9.421,0,9.421,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T071122Z_8c5366f8,11,normal,1789801883.4939067,1789801883.503026,9.316,0,9.316,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T071122Z_8c5366f8,12,normal,1789801883.503026,1789801883.5137312,10.865,0,10.865,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T071122Z_8c5366f8,13,normal,1789801883.5143383,1789801883.5249417,10.771,0,10.771,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T071122Z_8c5366f8,14,normal,1789801883.5249417,1789801883.537009,11.695,0,11.695,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T071122Z_8c5366f8,15,normal,1789801883.537009,1789801883.5469103,9.837,0,9.837,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T071122Z_8c5366f8,16,normal,1789801883.5469103,1789801883.556729,10.081,0,10.081,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T071122Z_8c5366f8,17,normal,1789801883.556729,1789801883.5673296,10.41,0,10.41,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T071122Z_8c5366f8,18,normal,1789801883.5673296,1789801883.5776985,9.982,0,9.982,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T071122Z_8c5366f8,19,normal,1789801883.5776985,1789801883.5878098,10.057,0,10.057,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T071122Z_8c5366f8,20,normal,1789801883.5878098,1789801883.5983152,10.911,0,10.911,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T071122Z_8c5366f8,21,normal,1789801883.5989878,1789801883.6089032,10.417,0,10.417,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T071122Z_8c5366f8,22,normal,1789801883.6094751,1789801883.6197171,10.441,0,10.441,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T071122Z_8c5366f8,23,normal,1789801883.6197171,1789801883.629109,9.445,0,9.445,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T071122Z_8c5366f8,24,normal,1789801883.629109,1789801883.6399539,10.631,0,10.631,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T071122Z_8c5366f8,25,normal,1789801883.6399539,1789801883.6508236,10.716,0,10.716,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T071122Z_8c5366f8,26,normal,1789801883.6508236,1789801883.661951,10.946,0,10.946,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T071122Z_8c5366f8,27,normal,1789801883.661951,1789801883.6720746,9.793,0,9.793,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T071122Z_8c5366f8,28,normal,1789801883.6720746,1789801883.6811023,9.56,0,9.56,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T071122Z_8c5366f8,29,normal,1789801883.6818857,1789801883.6911836,9.482,0,9.482,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260919T071122Z_8c5366f8,30,normal,1789801883.6911836,1789801883.7004082,9.429,0,9.429,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260919T071122Z_8c5366f8,31,normal,1789801883.7009819,1789801883.711227,10.471,0,10.471,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260919T071122Z_8c5366f8,32,normal,1789801883.711227,1789801883.7222936,10.875,0,10.875,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260919T071122Z_8c5366f8,33,normal,1789801883.7222936,1789801883.7324839,10.439,0,10.439,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260919T071122Z_8c5366f8,34,normal,1789801883.733069,1789801883.743428,10.398,0,10.398,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260919T071122Z_8c5366f8,35,normal,1789801883.743428,1789801883.753984,10.378,0,10.378,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260919T071122Z_8c5366f8,36,normal,1789801883.753984,1789801883.7639306,9.774,0,9.774,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260919T071122Z_8c5366f8,37,normal,1789801883.7639306,1789801883.7733335,9.586,0,9.586,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260919T071122Z_8c5366f8,38,normal,1789801883.7733335,1789801883.7834468,10.1,0,10.1,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 38}"
20260919T071122Z_8c5366f8,39,normal,1789801883.7834468,1789801883.7936847,9.804,0,9.804,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260919T071122Z_8c5366f8,40,normal,1789801883.7936847,1789801883.8036938,10.057,0,10.057,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 40}"
20260919T071122Z_8c5366f8,41,normal,1789801883.8036938,1789801883.813776,10.033,0,10.033,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 41}"
20260919T071122Z_8c5366f8,42,normal,1789801883.813776,1789801883.823696,10.224,0,10.224,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 42}"
20260919T071122Z_8c5366f8,43,normal,1789801883.8244197,1789801883.8338134,9.749,0,9.749,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 43}"
20260919T071122Z_8c5366f8,44,normal,1789801883.8338134,1789801883.8436923,9.561,0,9.561,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 44}"
20260919T071122Z_8c5366f8,45,normal,1789801883.8436923,1789801883.8530781,9.637,0,9.637,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 45}"
20260919T071122Z_8c5366f8,46,normal,1789801883.8530781,1789801883.8645363,11.055,0,11.055,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 46}"
20260919T071122Z_8c5366f8,47,normal,1789801883.8645363,1789801883.8739634,9.256,0,9.256,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 47}"
20260919T071122Z_8c5366f8,48,normal,1789801883.8739634,1789801883.8830864,9.369,0,9.369,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 48}"
20260919T071122Z_8c5366f8,49,normal,1789801883.8836994,1789801883.8932183,9.466,0,9.466,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 49}"
20260919T071122Z_8c5366f8,50,normal,1789801883.8932183,1789801883.9023652,9.146,0,9.146,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 50}"
20260919T071122Z_8c5366f8,51,normal,1789801883.9023652,1789801883.9120014,9.663,0,9.663,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 51}"
20260919T071122Z_8c5366f8,52,normal,1789801883.9120014,1789801883.9218614,9.863,0,9.863,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 52}"
20260919T071122Z_8c5366f8,53,normal,1789801883.9218614,1789801883.9322538,10.254,0,10.254,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 53}"
20260919T071122Z_8c5366f8,54,normal,1789801883.9322538,1789801883.9425762,9.978,0,9.978,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 54}"
20260919T071122Z_8c5366f8,55,normal,1789801883.9425762,1789801883.953056,10.555,0,10.555,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 55}"
20260919T071122Z_8c5366f8,56,normal,1789801883.953056,1789801883.963223,9.857,0,9.857,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 56}"
20260919T071122Z_8c5366f8,57,normal,1789801883.963223,1789801883.9716995,8.79,0,8.79,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 57}"
20260919T071122Z_8c5366f8,58,normal,1789801883.9723005,1789801883.9809074,9.1,0,9.1,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 58}"
20260919T071122Z_8c5366f8,59,normal,1789801883.981535,1789801883.9902446,9.075,0,9.075,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 59}"
20260919T071122Z_8c5366f8,60,normal,1789801883.9902446,1789801883.9998953,9.137,0,9.137,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 60}"
