run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T071620Z_1f1121d6,1,normal,1789802180.8147366,1789802180.8482723,33.214,0,33.214,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260919T071620Z_1f1121d6,2,normal,1789802180.848884,1789802180.8768418,28.361,0,28.361,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T071620Z_1f1121d6,3,normal,1789802180.8768418,1789802180.8870487,10.337,0,10.337,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T071620Z_1f1121d6,4,normal,1789802180.887855,1789802180.8978071,9.611,0,9.611,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T071620Z_1f1121d6,5,normal,1789802180.8978071,1789802180.9069493,9.405,0,9.405,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T071620Z_1f1121d6,6,normal,1789802180.9069493,1789802180.91689,9.909,0,9.909,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T071620Z_1f1121d6,7,normal,1789802180.9175556,1789802180.9285238,10.913,0,10.913,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T071620Z_1f1121d6,8,normal,1789802180.9285238,1789802180.9402328,11.786,0,11.786,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T071620Z_1f1121d6,9,normal,1789802180.9402328,1789802180.9532475,12.776,0,12.776,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T071620Z_1f1121d6,10,normal,1789802180.9532475,1789802180.9627998,9.515,0,9.515,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T071620Z_1f1121d6,11,normal,1789802180.9627998,1789802180.9723957,9.781,0,9.781,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T071620Z_1f1121d6,12,normal,1789802180.9730325,1789802180.9819515,9.373,0,9.373,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T071620Z_1f1121d6,13,normal,1789802180.9825494,1789802180.992224,9.956,0,9.956,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
