run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T071632Z_2deed32b,1,normal,1789802193.2094824,1789802193.2445753,34.737,0,34.737,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T071632Z_2deed32b,2,normal,1789802193.2445753,1789802193.2757213,31.234,0,31.234,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T071632Z_2deed32b,3,normal,1789802193.2763124,1789802193.2837446,7.66,0,7.66,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T071632Z_2deed32b,4,normal,1789802193.2842877,1789802193.293088,8.713,0,8.713,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T071632Z_2deed32b,5,normal,1789802193.293088,1789802193.3003557,7.141,0,7.141,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T071632Z_2deed32b,6,normal,1789802193.3003557,1789802193.307181,6.98,0,6.98,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T071632Z_2deed32b,7,normal,1789802193.307181,1789802193.3152854,7.552,0,7.552,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T071632Z_2deed32b,8,normal,1789802193.3152854,1789802193.3227339,7.367,0,7.367,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T071632Z_2deed32b,9,normal,1789802193.3227339,1789802193.3294337,6.764,0,6.764,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T071632Z_2deed32b,10,normal,1789802193.3294337,1789802193.3359277,6.453,0,6.453,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T071632Z_2deed32b,11,normal,1789802193.3359277,1789802193.3420792,6.202,0,6.202,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T071632Z_2deed32b,12,normal,1789802193.342741,1789802193.348375,6.135,0,6.135,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T071632Z_2deed32b,13,normal,1789802193.3490012,1789802193.355234,6.412,0,6.412,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T071632Z_2deed32b,14,normal,1789802193.355234,1789802193.3615217,5.938,0,5.938,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T071632Z_2deed32b,15,normal,1789802193.3615217,1789802193.3674257,6.36,0,6.36,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T071632Z_2deed32b,16,normal,1789802193.3680496,1789802193.3738844,6.033,0,6.033,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T071632Z_2deed32b,17,normal,1789802193.3738844,1789802193.3810735,7.109,0,7.109,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T071632Z_2deed32b,18,normal,1789802193.3810735,1789802193.3878713,6.998,0,6.998,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T071632Z_2deed32b,19,normal,1789802193.3884375,1789802193.3952255,7.02,0,7.02,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T071632Z_2deed32b,20,normal,1789802193.3952255,1789802193.4026575,7.189,0,7.189,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T071632Z_2deed32b,21,normal,1789802193.4026575,1789802193.4104211,7.648,0,7.648,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T071632Z_2deed32b,22,normal,1789802193.4104211,1789802193.4167833,6.297,0,6.297,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T071632Z_2deed32b,23,normal,1789802193.4167833,1789802193.4230242,6.245,0,6.245,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T071632Z_2deed32b,24,normal,1789802193.4230242,1789802193.4291973,6.288,0,6.288,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T071632Z_2deed32b,25,normal,1789802193.4297957,1789802193.436208,6.252,0,6.252,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T071632Z_2deed32b,26,normal,1789802193.436208,1789802193.4432993,6.949,0,6.949,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
