model,scenario,profile,phase,repeats,attempts_total,eligible_total,violations_total,errors_total,not_observed_total,successful_mr_reads_total,mr_read_regressions_total,violation_rate_mean,violation_rate_sd,violation_rate_n,coverage_mean,coverage_sd,coverage_n,eligible_workload_p50_ms_mean,eligible_workload_p50_ms_sd,eligible_workload_p50_ms_n,eligible_workload_p95_ms_mean,eligible_workload_p95_ms_sd,eligible_workload_p95_ms_n
mr,failure,causal,fault,3,1197,1197,0,0,0,2394,0,0.0,0.0,3,1.0,0.0,3,13.283333333333333,0.1991440014997526,3,16.793333333333333,0.9595531946345296,3
mr,failure,causal,normal,3,597,597,0,0,0,1194,0,0.0,0.0,3,1.0,0.0,3,12.768,0.5481961327846087,3,15.233,0.9103224703367487,3
mr,failure,causal,overall,3,3000,3000,0,0,0,6000,0,0.0,0.0,3,1.0,0.0,3,12.929,0.45084254457626294,3,16.397333333333336,0.660836086585269,3
mr,failure,causal,recovery,3,1203,1203,0,0,0,2406,0,0.0,0.0,3,1.0,0.0,3,12.763333333333334,0.698187176431459,3,16.109666666666666,0.6394187464669239,3
mr,failure,causal,transition,3,3,3,0,0,0,6,0,0.0,0.0,3,1.0,0.0,3,18.21,4.9105278738644795,3,18.21,4.9105278738644795,3
mr,failure,majority,fault,3,1197,1197,0,0,0,2394,0,0.0,0.0,3,1.0,0.0,3,13.416333333333334,0.7597587336341273,3,17.472333333333335,0.49535576440911044,3
mr,failure,majority,normal,3,597,597,1,0,0,1194,1,0.0016750418760469012,0.0029012576341187223,3,1.0,0.0,3,13.625666666666667,0.1701244642411351,3,16.476333333333333,0.632806710878869,3
mr,failure,majority,overall,3,3000,3000,1,0,0,6000,1,0.0003333333333333333,0.0005773502691896258,3,1.0,0.0,3,13.253333333333334,0.39551274737147707,3,16.743333333333336,0.4760696727720989,3
mr,failure,majority,recovery,3,1203,1203,0,0,0,2406,0,0.0,0.0,3,1.0,0.0,3,12.923333333333334,0.5394824680500127,3,16.032666666666668,0.9254892399878738,3
mr,failure,majority,transition,3,3,3,0,0,0,6,0,0.0,0.0,3,1.0,0.0,3,38.053666666666665,27.208537269271446,3,38.053666666666665,27.208537269271446,3
mr,failure,weak,fault,3,1197,1197,81,0,0,2394,81,0.06766917293233082,0.01989286700048564,3,1.0,0.0,3,8.933,0.24589225282631397,3,11.902,1.0448650630583838,3
mr,failure,weak,normal,3,597,597,1,0,0,1194,1,0.0016750418760469012,0.0029012576341187223,3,1.0,0.0,3,9.515333333333334,0.2948632451380356,3,11.065,0.23995207854902992,3
mr,failure,weak,overall,3,3000,3000,82,0,0,6000,82,0.027333333333333334,0.007767453465154027,3,1.0,0.0,3,9.291333333333332,0.34129801249543346,3,11.564,0.2941037231998261,3
