repeat,model,scenario,profile,phase,attempts,eligible,violations,errors,not_observed,coverage,violation_rate,successful_mr_reads,mr_read_regressions,eligible_workload_p50_ms,eligible_workload_p95_ms,folder
1,mr,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,2000,0,12.728,15.297,20260919T061541Z_e9cd871b_mr_normal_causal
1,mr,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,2000,0,12.728,15.297,20260919T061541Z_e9cd871b_mr_normal_causal
1,wfr,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,19.13,22.906,20260919T061556Z_48dd8ec8_wfr_normal_causal
1,wfr,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,0,0,19.13,22.906,20260919T061556Z_48dd8ec8_wfr_normal_causal
1,wfr,normal,weak,overall,1000,1000,0,0,0,1.0,0.0,0,0,28.725,33.795,20260919T061617Z_191d4434_wfr_normal_weak
1,wfr,normal,weak,normal,1000,1000,0,0,0,1.0,0.0,0,0,28.725,33.795,20260919T061617Z_191d4434_wfr_normal_weak
1,ryw,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,9.617,11.779,20260919T061647Z_18463bc2_ryw_normal_causal
1,ryw,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,0,0,9.617,11.779,20260919T061647Z_18463bc2_ryw_normal_causal
1,wfr,failure,weak,overall,1000,1000,0,0,0,1.0,0.0,0,0,31.696,109.879,20260919T061659Z_626a7750_wfr_failure_weak
1,wfr,failure,weak,normal,199,199,0,0,0,1.0,0.0,0,0,29.198,33.156,20260919T061659Z_626a7750_wfr_failure_weak
1,wfr,failure,weak,transition,1,1,0,0,0,1.0,0.0,0,0,364.135,364.135,20260919T061659Z_626a7750_wfr_failure_weak
1,wfr,failure,weak,fault,399,399,0,0,0,1.0,0.0,0,0,101.661,114.804,20260919T061659Z_626a7750_wfr_failure_weak
1,wfr,failure,weak,recovery,401,401,0,0,0,1.0,0.0,0,0,28.529,35.775,20260919T061659Z_626a7750_wfr_failure_weak
1,ryw,normal,majority,overall,1000,1000,1,0,0,1.0,0.001,0,0,9.544,11.572,20260919T061808Z_b8ff2d8d_ryw_normal_majority
1,ryw,normal,majority,normal,1000,1000,1,0,0,1.0,0.001,0,0,9.544,11.572,20260919T061808Z_b8ff2d8d_ryw_normal_majority
1,wfr,partition,weak,overall,1000,987,0,1,12,0.987,0.0,0,0,30.958,110.534,20260919T061820Z_30002b5b_wfr_partition_weak
1,wfr,partition,weak,normal,199,199,0,0,0,1.0,0.0,0,0,28.861,33.299,20260919T061820Z_30002b5b_wfr_partition_weak
1,wfr,partition,weak,transition,1,0,0,1,0,0.0,,0,0,,,20260919T061820Z_30002b5b_wfr_partition_weak
1,wfr,partition,weak,fault,399,387,0,0,12,0.9699248120300752,0.0,0,0,102.023,116.911,20260919T061820Z_30002b5b_wfr_partition_weak
1,wfr,partition,weak,recovery,401,401,0,0,0,1.0,0.0,0,0,28.429,32.586,20260919T061820Z_30002b5b_wfr_partition_weak
1,mr,failure,causal,overall,1000,1000,0,0,0,1.0,0.0,2000,0,12.786,17.07,20260919T061954Z_ee4ba8f7_mr_failure_causal
1,mr,failure,causal,normal,199,199,0,0,0,1.0,0.0,398,0,13.086,15.846,20260919T061954Z_ee4ba8f7_mr_failure_causal
1,mr,failure,causal,transition,1,1,0,0,0,1.0,0.0,2,0,14.952,14.952,20260919T061954Z_ee4ba8f7_mr_failure_causal
1,mr,failure,causal,fault,399,399,0,0,0,1.0,0.0,798,0,13.065,17.9,20260919T061954Z_ee4ba8f7_mr_failure_causal
1,mr,failure,causal,recovery,401,401,0,0,0,1.0,0.0,802,0,12.404,15.962,20260919T061954Z_ee4ba8f7_mr_failure_causal
1,ryw,partition,causal,overall,1000,998,0,2,0,0.998,0.0,0,0,9.507,12.692,20260919T062017Z_2281d969_ryw_partition_causal
1,ryw,partition,causal,normal,199,199,0,0,0,1.0,0.0,0,0,9.668,11.774,20260919T062017Z_2281d969_ryw_partition_causal
1,ryw,partition,causal,transition,1,1,0,0,0,1.0,0.0,0,0,14.859,14.859,20260919T062017Z_2281d969_ryw_partition_causal
1,ryw,partition,causal,fault,399,397,0,2,0,0.9949874686716792,0.0,0,0,9.998,13.792,20260919T062017Z_2281d969_ryw_partition_causal
1,ryw,partition,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,8.982,11.422,20260919T062017Z_2281d969_ryw_partition_causal
1,mr,normal,weak,overall,1000,1000,0,0,0,1.0,0.0,2000,0,10.354,14.319,20260919T062105Z_a590d830_mr_normal_weak
1,mr,normal,weak,normal,1000,1000,0,0,0,1.0,0.0,2000,0,10.354,14.319,20260919T062105Z_a590d830_mr_normal_weak
1,mr,partition,majority,overall,1000,999,0,1,0,0.999,0.0,1998,0,14.375,18.78,20260919T062118Z_f5115c86_mr_partition_majority
1,mr,partition,majority,normal,199,199,0,0,0,1.0,0.0,398,0,15.815,18.631,20260919T062118Z_f5115c86_mr_partition_majority
1,mr,partition,majority,transition,1,1,0,0,0,1.0,0.0,2,0,21.323,21.323,20260919T062118Z_f5115c86_mr_partition_majority
1,mr,partition,majority,fault,399,398,0,1,0,0.9974937343358395,0.0,796,0,14.407,19.958,20260919T062118Z_f5115c86_mr_partition_majority
1,mr,partition,majority,recovery,401,401,0,0,0,1.0,0.0,802,0,13.245,17.746,20260919T062118Z_f5115c86_mr_partition_majority
1,ryw,failure,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,11.127,13.683,20260919T062211Z_fdf8c7e0_ryw_failure_causal
1,ryw,failure,causal,normal,199,199,0,0,0,1.0,0.0,0,0,10.22,12.319,20260919T062211Z_fdf8c7e0_ryw_failure_causal
1,ryw,failure,causal,transition,1,1,0,0,0,1.0,0.0,0,0,39.613,39.613,20260919T062211Z_fdf8c7e0_ryw_failure_causal
1,ryw,failure,causal,fault,399,399,0,0,0,1.0,0.0,0,0,11.418,14.184,20260919T062211Z_fdf8c7e0_ryw_failure_causal
1,ryw,failure,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,11.295,13.345,20260919T062211Z_fdf8c7e0_ryw_failure_causal
1,wfr,normal,majority,overall,1000,1000,0,0,0,1.0,0.0,0,0,25.484,30.76,20260919T062233Z_e17c3fed_wfr_normal_majority
1,wfr,normal,majority,normal,1000,1000,0,0,0,1.0,0.0,0,0,25.484,30.76,20260919T062233Z_e17c3fed_wfr_normal_majority
1,mw,failure,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,23.533,28.092,20260919T062301Z_cd2d9dcb_mw_failure_causal
1,mw,failure,causal,normal,199,199,0,0,0,1.0,0.0,0,0,23.627,28.827,20260919T062301Z_cd2d9dcb_mw_failure_causal
1,mw,failure,causal,transition,1,1,0,0,0,1.0,0.0,0,0,256.247,256.247,20260919T062301Z_cd2d9dcb_mw_failure_causal
1,mw,failure,causal,fault,399,399,0,0,0,1.0,0.0,0,0,23.48,28.104,20260919T062301Z_cd2d9dcb_mw_failure_causal
1,mw,failure,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,23.559,27.727,20260919T062301Z_cd2d9dcb_mw_failure_causal
1,mw,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,22.619,26.424,20260919T062336Z_25f253cd_mw_normal_causal
1,mw,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,0,0,22.619,26.424,20260919T062336Z_25f253cd_mw_normal_causal
1,wfr,partition,majority,overall,1000,999,0,1,0,0.999,0.0,0,0,19.97,28.146,20260919T062401Z_de7aa3f8_wfr_partition_majority
1,wfr,partition,majority,normal,199,199,0,0,0,1.0,0.0,0,0,26.011,30.474,20260919T062401Z_de7aa3f8_wfr_partition_majority
1,wfr,partition,majority,transition,1,0,0,1,0,0.0,,0,0,,,20260919T062401Z_de7aa3f8_wfr_partition_majority
1,wfr,partition,majority,fault,399,399,0,0,0,1.0,0.0,0,0,18.347,24.992,20260919T062401Z_de7aa3f8_wfr_partition_majority
1,wfr,partition,majority,recovery,401,401,0,0,0,1.0,0.0,0,0,19.619,24.81,20260919T062401Z_de7aa3f8_wfr_partition_majority
1,ryw,failure,weak,overall,1000,1000,51,0,0,1.0,0.051,0,0,6.018,7.582,20260919T062500Z_eb147975_ryw_failure_weak
1,ryw,failure,weak,normal,199,199,0,0,0,1.0,0.0,0,0,6.428,7.356,20260919T062500Z_eb147975_ryw_failure_weak
1,ryw,failure,weak,transition,1,1,0,0,0,1.0,0.0,0,0,10.879,10.879,20260919T062500Z_eb147975_ryw_failure_weak
1,ryw,failure,weak,fault,399,399,48,0,0,1.0,0.12030075187969924,0,0,6.28,8.022,20260919T062500Z_eb147975_ryw_failure_weak
1,ryw,failure,weak,recovery,401,401,3,0,0,1.0,0.007481296758104738,0,0,5.316,7.153,20260919T062500Z_eb147975_ryw_failure_weak
1,mr,partition,causal,overall,1000,999,0,1,0,0.999,0.0,1998,0,12.736,15.959,20260919T062516Z_081d8d8a_mr_partition_causal
1,mr,partition,causal,normal,199,199,0,0,0,1.0,0.0,398,0,12.98,15.306,20260919T062516Z_081d8d8a_mr_partition_causal
1,mr,partition,causal,transition,1,1,0,0,0,1.0,0.0,2,0,13.585,13.585,20260919T062516Z_081d8d8a_mr_partition_causal
1,mr,partition,causal,fault,399,398,0,1,0,0.9974937343358395,0.0,796,0,13.26,17.674,20260919T062516Z_081d8d8a_mr_partition_causal
1,mr,partition,causal,recovery,401,401,0,0,0,1.0,0.0,802,0,12.16,14.995,20260919T062516Z_081d8d8a_mr_partition_causal
1,wfr,failure,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,19.008,23.991,20260919T062607Z_9fe26e80_wfr_failure_causal
1,wfr,failure,causal,normal,199,199,0,0,0,1.0,0.0,0,0,19.231,21.919,20260919T062607Z_9fe26e80_wfr_failure_causal
1,wfr,failure,causal,transition,1,1,0,0,0,1.0,0.0,0,0,284.253,284.253,20260919T062607Z_9fe26e80_wfr_failure_causal
1,wfr,failure,causal,fault,399,399,0,0,0,1.0,0.0,0,0,20.028,24.922,20260919T062607Z_9fe26e80_wfr_failure_causal
1,wfr,failure,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,18.298,23.475,20260919T062607Z_9fe26e80_wfr_failure_causal
1,mw,partition,causal,overall,1000,999,0,1,0,0.999,0.0,0,0,16.332,21.065,20260919T062636Z_c04e3d36_mw_partition_causal
1,mw,partition,causal,normal,199,199,0,0,0,1.0,0.0,0,0,16.542,20.602,20260919T062636Z_c04e3d36_mw_partition_causal
1,mw,partition,causal,transition,1,0,0,1,0,0.0,,0,0,,,20260919T062636Z_c04e3d36_mw_partition_causal
1,mw,partition,causal,fault,399,399,0,0,0,1.0,0.0,0,0,17.504,22.478,20260919T062636Z_c04e3d36_mw_partition_causal
1,mw,partition,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,15.519,19.054,20260919T062636Z_c04e3d36_mw_partition_causal
1,ryw,partition,majority,overall,1000,999,2,1,0,0.999,0.002002002002002002,0,0,10.15,12.44,20260919T062731Z_052f8d88_ryw_partition_majority
1,ryw,partition,majority,normal,199,199,2,0,0,1.0,0.010050251256281407,0,0,10.495,12.684,20260919T062731Z_052f8d88_ryw_partition_majority
1,ryw,partition,majority,transition,1,1,0,0,0,1.0,0.0,0,0,14.448,14.448,20260919T062731Z_052f8d88_ryw_partition_majority
1,ryw,partition,majority,fault,399,398,0,1,0,0.9974937343358395,0.0,0,0,10.031,12.316,20260919T062731Z_052f8d88_ryw_partition_majority
1,ryw,partition,majority,recovery,401,401,0,0,0,1.0,0.0,0,0,9.931,12.285,20260919T062731Z_052f8d88_ryw_partition_majority
1,mr,failure,majority,overall,1000,1000,0,0,0,1.0,0.0,2000,0,13.707,16.222,20260919T062756Z_7b47993e_mr_failure_majority
